,"BJD - 2454833, Corrected Flux"
0,"2231.047685962, 1.016138723,"
1,"2231.068118298, 1.019109091,"
2,"2231.088550534, 1.010916081,"
3,"2231.108982669, 1.029668185,"
4,"2231.129415004, 1.022053914,"
5,"2231.149847138, 1.004302819,"
6,"2231.170279372, 1.021438301,"
7,"2231.190711705, 1.014908907,"
8,"2231.211143938, 1.007177490,"
9,"2231.231576070, 1.030250309,"
10,"2231.252008401, 1.027457376,"
11,"2231.272440632, 1.008154007,"
12,"2231.292872763, 1.021938244,"
13,"2231.313305093, 1.022563660,"
14,"2231.333737322, 1.011367717,"
15,"2231.354169450, 1.007803769,"
16,"2231.374601778, 1.017921046,"
17,"2231.395034006, 1.006294284,"
18,"2231.415466133, 1.004273023,"
19,"2231.456330686, 0.995588051,"
20,"2231.476763011, 1.005316690,"
21,"2231.497195136, 1.013006285,"
22,"2231.517627360, 1.009140664,"
23,"2231.538059684, 1.010352048,"
24,"2231.558491807, 1.006444967,"
25,"2231.578924030, 0.997530800,"
26,"2231.599356352, 1.029419463,"
27,"2231.619788474, 1.002334526,"
28,"2231.640220695, 1.008132129,"
29,"2231.660653015, 1.013355377,"
30,"2231.701517355, 1.044816568,"
31,"2231.721949674, 1.015811973,"
32,"2231.742381892, 1.014598815,"
33,"2231.762814010, 1.022042086,"
34,"2231.783246327, 0.999729113,"
35,"2231.803678544, 1.001746667,"
36,"2231.824110660, 1.018174754,"
37,"2231.844542976, 1.018740783,"
38,"2231.864975091, 1.012369241,"
39,"2231.885407305, 1.025458176,"
40,"2231.905839619, 1.022747521,"
41,"2231.926271733, 1.012460577,"
42,"2231.946703945, 1.009580947,"
43,"2231.967136258, 1.008084199,"
44,"2231.987568370, 1.004019111,"
45,"2232.008000581, 1.017872368,"
46,"2232.028432892, 1.016585950,"
47,"2232.048865102, 1.009183445,"
48,"2232.069297311, 1.011512075,"
49,"2232.089729520, 1.005893957,"
50,"2232.110161729, 1.000246425,"
51,"2232.130593937, 0.997408658,"
52,"2232.151026145, 0.991913107,"
53,"2232.191890558, 1.017958869,"
54,"2232.212322764, 1.001901915,"
55,"2232.232754969, 0.991460866,"
56,"2232.253187274, 1.003357247,"
57,"2232.273619378, 0.997767546,"
58,"2232.294051582, 1.022850867,"
59,"2232.314483885, 0.998711441,"
60,"2232.334915988, 0.990736318,"
61,"2232.355348190, 1.008021786,"
62,"2232.396212592, 0.996189699,"
63,"2232.416644793, 1.013637184,"
64,"2232.437077093, 0.990957220,"
65,"2232.457509192, 1.002185497,"
66,"2232.477941391, 1.007451763,"
67,"2232.498373689, 1.003141817,"
68,"2232.518805887, 1.022420139,"
69,"2232.539237984, 1.003007083,"
70,"2232.559670181, 1.033733843,"
71,"2232.580102377, 1.009569167,"
72,"2232.600534573, 1.003753568,"
73,"2232.620966868, 1.006818861,"
74,"2232.641398963, 0.995992826,"
75,"2232.682263450, 1.013627430,"
76,"2232.702695543, 1.001505831,"
77,"2232.723127735, 1.013363912,"
78,"2232.743560028, 1.001328377,"
79,"2232.763992119, 0.999386285,"
80,"2232.784424309, 1.016363289,"
81,"2232.804856600, 0.999897872,"
82,"2232.825288689, 1.009917817,"
83,"2232.845720979, 1.009128672,"
84,"2232.866153167, 1.006896811,"
85,"2232.886585356, 1.005912835,"
86,"2232.907017543, 1.005762488,"
87,"2232.927449730, 0.993430330,"
88,"2232.947881917, 0.981930967,"
89,"2232.968314103, 1.035824852,"
90,"2232.988746288, 0.994395215,"
91,"2233.009178473, 1.004211190,"
92,"2233.029610657, 1.022018908,"
93,"2233.050042841, 0.998005257,"
94,"2233.070475025, 1.009977543,"
95,"2233.090907307, 1.011315651,"
96,"2233.111339390, 1.002029310,"
97,"2233.131771571, 0.997952522,"
98,"2233.172635933, 1.007652149,"
99,"2233.193068113, 1.000524280,"
100,"2233.213500393, 1.012919106,"
101,"2233.233932472, 0.997062981,"
102,"2233.254364651, 1.012576782,"
103,"2233.274796829, 0.994117060,"
104,"2233.295229007, 1.016724678,"
105,"2233.315661183, 1.000980204,"
106,"2233.336093360, 1.002598379,"
107,"2233.356525535, 1.006910533,"
108,"2233.376957711, 1.020255434,"
109,"2233.397389886, 1.016876205,"
110,"2233.417822060, 1.004282505,"
111,"2233.438254234, 1.009477806,"
112,"2233.458686507, 1.002491805,"
113,"2233.479118580, 0.999507951,"
114,"2233.499550752, 1.018446590,"
115,"2233.519983024, 1.019451270,"
116,"2233.540415095, 1.010017079,"
117,"2233.560847266, 1.000343358,"
118,"2233.581279536, 1.016632816,"
119,"2233.601711605, 1.002391814,"
120,"2233.622143874, 1.034323037,"
121,"2233.663008111, 1.013403535,"
122,"2233.683440379, 1.060801481,"
123,"2233.703872545, 0.985894861,"
124,"2233.724304711, 1.005817859,"
125,"2233.744736878, 1.003806290,"
126,"2233.765169043, 1.007885441,"
127,"2233.785601208, 1.023727755,"
128,"2233.806033372, 1.015732300,"
129,"2233.826465536, 1.013108099,"
130,"2233.846897699, 1.000995467,"
131,"2233.867329862, 1.008545780,"
132,"2233.887762024, 1.016711474,"
133,"2233.908194186, 0.994635447,"
134,"2233.928626447, 1.007322253,"
135,"2233.949058507, 1.006962490,"
136,"2233.969490668, 0.994905610,"
137,"2233.989922827, 1.011740545,"
138,"2234.010354986, 1.011544507,"
139,"2234.030787145, 1.009496435,"
140,"2234.051219303, 1.019292568,"
141,"2234.071651460, 1.013201025,"
142,"2234.092083617, 1.000778192,"
143,"2234.112515774, 1.008433370,"
144,"2234.153380085, 1.022361960,"
145,"2234.173812240, 1.031706558,"
146,"2234.194244394, 1.005909021,"
147,"2234.214676548, 0.994361133,"
148,"2234.235108701, 0.987290438,"
149,"2234.255540854, 1.005791593,"
150,"2234.275973006, 0.997363444,"
151,"2234.296405258, 1.005721415,"
152,"2234.316837309, 1.010681694,"
153,"2234.337269460, 0.994956839,"
154,"2234.357701710, 1.034311740,"
155,"2234.398565909, 1.007831316,"
156,"2234.439430206, 0.996912676,"
157,"2234.459862453, 1.001466726,"
158,"2234.480294601, 0.997453672,"
159,"2234.500726647, 1.035575049,"
160,"2234.521158893, 1.008742364,"
161,"2234.541591039, 1.066484677,"
162,"2234.562023184, 1.016290942,"
163,"2234.582455328, 1.022745177,"
164,"2234.602887472, 0.999218824,"
165,"2234.643751759, 1.007107667,"
166,"2234.664183901, 0.997032217,"
167,"2234.684616043, 1.012898551,"
168,"2234.705048184, 1.007620897,"
169,"2234.725480325, 1.015681800,"
170,"2234.745912465, 0.989157862,"
171,"2234.766344606, 1.003805909,"
172,"2234.786776745, 1.030381925,"
173,"2234.807208883, 1.002858622,"
174,"2234.827641022, 1.004171641,"
175,"2234.848073160, 1.024640412,"
176,"2234.868505197, 1.001311227,"
177,"2234.888937433, 0.997952047,"
178,"2234.909369570, 0.993157587,"
179,"2234.929801605, 1.020959410,"
180,"2234.950233841, 1.018705883,"
181,"2234.970665975, 1.001824796,"
182,"2234.991098109, 1.016759521,"
183,"2235.011530243, 0.996602455,"
184,"2235.031962376, 1.025871708,"
185,"2235.052394509, 1.005850905,"
186,"2235.072826641, 1.008367006,"
187,"2235.093258773, 1.015922188,"
188,"2235.134123134, 1.012687944,"
189,"2235.154555165, 1.006011979,"
190,"2235.174987294, 1.017201235,"
191,"2235.195419523, 1.036004381,"
192,"2235.215851551, 1.015258939,"
193,"2235.236283680, 1.012406835,"
194,"2235.256715907, 1.000706337,"
195,"2235.277147934, 0.998306434,"
196,"2235.297580160, 1.009011807,"
197,"2235.318012287, 0.998420862,"
198,"2235.338444312, 0.965049768,"
199,"2235.358876537, 1.011546840,"
200,"2235.379308661, 1.018771505,"
201,"2235.399740785, 1.013093356,"
202,"2235.420172909, 1.022945143,"
203,"2235.440605032, 1.017331602,"
204,"2235.461037154, 1.013992362,"
205,"2235.481469276, 1.024472468,"
206,"2235.501901397, 0.994183443,"
207,"2235.522333518, 1.003191204,"
208,"2235.542765639, 1.019191520,"
209,"2235.563197758, 0.992154841,"
210,"2235.583629878, 1.039823119,"
211,"2235.604061997, 0.998791796,"
212,"2235.624494115, 1.002892602,"
213,"2235.644926133, 1.015028613,"
214,"2235.665358350, 1.024020734,"
215,"2235.685790467, 1.001176918,"
216,"2235.706222483, 1.005787681,"
217,"2235.726654699, 1.018235499,"
218,"2235.747086814, 1.007121028,"
219,"2235.767518829, 1.024681078,"
220,"2235.787951043, 1.011699845,"
221,"2235.808383157, 1.003316596,"
222,"2235.828815270, 1.002305390,"
223,"2235.869679496, 1.008543461,"
224,"2235.890111607, 1.032662512,"
225,"2235.910543719, 1.039227791,"
226,"2235.930975829, 1.024391498,"
227,"2235.951407939, 1.003702649,"
228,"2235.971840149, 1.006852458,"
229,"2235.992272159, 1.012239099,"
230,"2236.012704267, 0.995820848,"
231,"2236.033136476, 1.036512560,"
232,"2236.053568483, 1.014039283,"
233,"2236.074000690, 1.011499725,"
234,"2236.094432797, 1.031208026,"
235,"2236.114864803, 1.013430843,"
236,"2236.135297009, 1.026877564,"
237,"2236.155729114, 1.010058167,"
238,"2236.176161119, 1.015308505,"
239,"2236.217025427, 1.065202184,"
240,"2236.237457530, 1.015681753,"
241,"2236.257889633, 1.011840028,"
242,"2236.278321635, 1.021052152,"
243,"2236.298753837, 1.035206694,"
244,"2236.319185938, 1.005437703,"
245,"2236.339618039, 1.014013423,"
246,"2236.360050039, 1.007267335,"
247,"2236.380482238, 1.010278847,"
248,"2236.400914338, 1.040916882,"
249,"2236.421346336, 1.001283301,"
250,"2236.441778535, 1.023153744,"
251,"2236.462210632, 1.040056474,"
252,"2236.482642630, 1.002686454,"
253,"2236.503074826, 0.998490118,"
254,"2236.523506922, 1.015099142,"
255,"2236.543938918, 0.997328679,"
256,"2236.564371113, 1.023051641,"
257,"2236.605235202, 1.015840370,"
258,"2236.625667396, 1.015702099,"
259,"2236.646099489, 1.014115140,"
260,"2236.666531582, 1.026207117,"
261,"2236.686963674, 1.012980289,"
262,"2236.707395766, 1.003123703,"
263,"2236.727827857, 1.034704459,"
264,"2236.748259948, 1.021728174,"
265,"2236.768692038, 1.007499541,"
266,"2236.789124128, 0.991075999,"
267,"2236.809556317, 1.020664564,"
268,"2236.850420394, 1.012789617,"
269,"2236.870852582, 0.999476548,"
270,"2236.891284569, 1.014855999,"
271,"2236.911716756, 1.010109003,"
272,"2236.932148842, 1.020135138,"
273,"2236.952580828, 1.025330076,"
274,"2236.973013013, 0.989424914,"
275,"2236.993444998, 1.002783620,"
276,"2237.013877082, 0.991789187,"
277,"2237.034309266, 1.014903452,"
278,"2237.054741249, 1.033261814,"
279,"2237.075173332, 0.999791006,"
280,"2237.095605514, 1.005001281,"
281,"2237.116037496, 1.023664222,"
282,"2237.136469577, 0.997278060,"
283,"2237.156901758, 1.018533651,"
284,"2237.177333839, 0.986344714,"
285,"2237.197765818, 1.017653577,"
286,"2237.218197998, 1.040353557,"
287,"2237.238630077, 1.007486203,"
288,"2237.259062055, 1.047104397,"
289,"2237.279494233, 1.005740778,"
290,"2237.299926310, 1.004990264,"
291,"2237.320358287, 1.007213337,"
292,"2237.340790464, 1.010889620,"
293,"2237.361222539, 1.040843143,"
294,"2237.381654515, 0.998451774,"
295,"2237.402086690, 1.002036068,"
296,"2237.422518764, 1.007381524,"
297,"2237.463382912, 1.029723921,"
298,"2237.483814985, 1.014306274,"
299,"2237.504247057, 0.997109552,"
300,"2237.524679129, 1.001017432,"
301,"2237.545111201, 1.008523338,"
302,"2237.565543272, 1.019437148,"
303,"2237.585975343, 0.998078567,"
304,"2237.606407412, 1.015214260,"
305,"2237.626839482, 1.006185091,"
306,"2237.647271651, 1.020740901,"
307,"2237.667703620, 1.005732089,"
308,"2237.688135688, 1.019806112,"
309,"2237.708567856, 1.034330369,"
310,"2237.728999823, 1.022401101,"
311,"2237.749431989, 1.007672230,"
312,"2237.769863956, 1.031930460,"
313,"2237.790296021, 1.015940822,"
314,"2237.810728187, 1.012701472,"
315,"2237.831160151, 1.019953852,"
316,"2237.851592216, 1.024577790,"
317,"2237.872024379, 1.010184712,"
318,"2237.892456342, 1.006496900,"
319,"2237.912888405, 1.019608987,"
320,"2237.933320567, 1.009460432,"
321,"2237.953752529, 1.026367565,"
322,"2237.974184590, 1.015899989,"
323,"2237.994616751, 1.013913397,"
324,"2238.015048812, 1.027889434,"
325,"2238.035480771, 1.018727834,"
326,"2238.055912931, 1.009794216,"
327,"2238.076344990, 1.019223834,"
328,"2238.096776948, 1.018114559,"
329,"2238.117209106, 1.027004824,"
330,"2238.137641164, 1.018523899,"
331,"2238.158073121, 1.018537688,"
332,"2238.178505277, 1.027616606,"
333,"2238.198937333, 1.018323556,"
334,"2238.219369289, 1.017400245,"
335,"2238.239801444, 1.006227190,"
336,"2238.260233498, 1.028958660,"
337,"2238.280665453, 1.030391352,"
338,"2238.321529659, 1.016895161,"
339,"2238.341961712, 0.999306453,"
340,"2238.362393764, 1.021140431,"
341,"2238.382825816, 1.009240947,"
342,"2238.403257867, 1.029031683,"
343,"2238.423689918, 1.009176395,"
344,"2238.444121968, 1.026752593,"
345,"2238.464554018, 1.027493328,"
346,"2238.484986067, 1.021166784,"
347,"2238.505418115, 1.034664416,"
348,"2238.525850264, 1.041806306,"
349,"2238.566714259, 1.010691051,"
350,"2238.587146406, 1.018763685,"
351,"2238.607578352, 1.016400018,"
352,"2238.628010398, 1.020260403,"
353,"2238.668874489, 1.009859688,"
354,"2238.689306533, 0.988209531,"
355,"2238.709738677, 1.017493546,"
356,"2238.730170621, 1.009459993,"
357,"2238.750602664, 1.010998441,"
358,"2238.771034807, 1.013065137,"
