BJD - 2454833, Corrected Flux
2231.047685962, 1.016138723,
2231.068118298, 1.019109091,
2231.088550534, 1.010916081,
2231.108982669, 1.029668185,
2231.129415004, 1.022053914,
2231.149847138, 1.004302819,
2231.170279372, 1.021438301,
2231.190711705, 1.014908907,
2231.211143938, 1.007177490,
2231.231576070, 1.030250309,
2231.252008401, 1.027457376,
2231.272440632, 1.008154007,
2231.292872763, 1.021938244,
2231.313305093, 1.022563660,
2231.333737322, 1.011367717,
2231.354169450, 1.007803769,
2231.374601778, 1.017921046,
2231.395034006, 1.006294284,
2231.415466133, 1.004273023,
2231.456330686, 0.995588051,
2231.476763011, 1.005316690,
2231.497195136, 1.013006285,
2231.517627360, 1.009140664,
2231.538059684, 1.010352048,
2231.558491807, 1.006444967,
2231.578924030, 0.997530800,
2231.599356352, 1.029419463,
2231.619788474, 1.002334526,
2231.640220695, 1.008132129,
2231.660653015, 1.013355377,
2231.701517355, 1.044816568,
2231.721949674, 1.015811973,
2231.742381892, 1.014598815,
2231.762814010, 1.022042086,
2231.783246327, 0.999729113,
2231.803678544, 1.001746667,
2231.824110660, 1.018174754,
2231.844542976, 1.018740783,
2231.864975091, 1.012369241,
2231.885407305, 1.025458176,
2231.905839619, 1.022747521,
2231.926271733, 1.012460577,
2231.946703945, 1.009580947,
2231.967136258, 1.008084199,
2231.987568370, 1.004019111,
2232.008000581, 1.017872368,
2232.028432892, 1.016585950,
2232.048865102, 1.009183445,
2232.069297311, 1.011512075,
2232.089729520, 1.005893957,
2232.110161729, 1.000246425,
2232.130593937, 0.997408658,
2232.151026145, 0.991913107,
2232.191890558, 1.017958869,
2232.212322764, 1.001901915,
2232.232754969, 0.991460866,
2232.253187274, 1.003357247,
2232.273619378, 0.997767546,
2232.294051582, 1.022850867,
2232.314483885, 0.998711441,
2232.334915988, 0.990736318,
2232.355348190, 1.008021786,
2232.396212592, 0.996189699,
2232.416644793, 1.013637184,
2232.437077093, 0.990957220,
2232.457509192, 1.002185497,
2232.477941391, 1.007451763,
2232.498373689, 1.003141817,
2232.518805887, 1.022420139,
2232.539237984, 1.003007083,
2232.559670181, 1.033733843,
2232.580102377, 1.009569167,
2232.600534573, 1.003753568,
2232.620966868, 1.006818861,
2232.641398963, 0.995992826,
2232.682263450, 1.013627430,
2232.702695543, 1.001505831,
2232.723127735, 1.013363912,
2232.743560028, 1.001328377,
2232.763992119, 0.999386285,
2232.784424309, 1.016363289,
2232.804856600, 0.999897872,
2232.825288689, 1.009917817,
2232.845720979, 1.009128672,
2232.866153167, 1.006896811,
2232.886585356, 1.005912835,
2232.907017543, 1.005762488,
2232.927449730, 0.993430330,
2232.947881917, 0.981930967,
2232.968314103, 1.035824852,
2232.988746288, 0.994395215,
2233.009178473, 1.004211190,
2233.029610657, 1.022018908,
2233.050042841, 0.998005257,
2233.070475025, 1.009977543,
2233.090907307, 1.011315651,
2233.111339390, 1.002029310,
2233.131771571, 0.997952522,
2233.172635933, 1.007652149,
